時間軸（月次）,日数,1 食料【円】,チョコ【円】,アイス【円】,降水量の合計(mm),平均湿度(％),日最高気温の平均(℃),日照率(％),平均風速(m/s)
201501,31,81084,399,310,120.5,74,8.4,31,1.9
201502,28,82382,2131,304,43.5,69,9.9,34,1.9
201503,31,91607,529,438,159.0,64,14.8,46,2.1
201504,30,83156,251,503,163.5,64,20.5,38,2.3
201505,31,86721,210,878,128.0,55,27.7,48,2.2
201506,30,81216,206,996,263.0,68,27.5,28,2.2
201507,31,85746,194,1027,416.5,71,31.7,29,2.3
201508,31,87304,123,1196,241.5,67,33.6,42,2.0
201509,30,82425,305,768,190.5,70,27.5,38,2.0
201510,31,81583,355,646,38.5,61,23.9,67,1.9
201511,30,83075,451,442,177.0,72,18.4,38,1.7
201512,31,111485,631,500,101.0,69,13.2,44,1.8
201601,31,78499,695,381,77.0,65,10.1,49,2.0
201602,29,83593,1600,302,99.0,63,11.4,48,2.2
201603,31,91886,802,496,69.0,60,15.6,47,2.2
201604,30,87586,439,692,180.5,61,21.6,41,2.4
201605,31,93521,295,1041,147.5,59,27.0,49,2.2
201606,30,84672,285,1028,284.0,69,28.0,26,2.2
201607,31,83253,211,1323,102.5,68,33.0,36,2.0
201608,31,84526,183,1511,148.5,63,34.7,55,2.3
201609,30,76723,268,1065,458.5,73,29.6,24,1.9
201610,31,78305,449,756,99.5,67,24.4,37,2.0
201611,30,80528,475,345,82.0,71,16.8,42,1.7
201612,31,102807,699,506,92.0,73,12.5,47,1.7
201701,31,78596,677,397,61.0,71,9.3,46,2.0
201702,28,74457,1410,326,40.0,68,9.6,39,2.2
201703,31,82357,757,459,56.0,60,13.5,43,2.2
201704,30,78674,465,680,129.0,61,20.5,45,2.3
201705,31,81388,381,1053,66.0,56,27.0,52,2.2
201706,30,78073,325,888,205.0,60,28.1,45,2.2
201707,31,77244,268,1215,150.5,72,33.4,30,2.1
201708,31,81953,265,1271,129.5,67,33.6,39,2.4
201709,30,74807,323,610,159.0,66,28.3,42,2.2
201710,31,76202,579,465,397.0,75,21.7,28,1.9
201711,30,78190,531,280,43.0,70,16.1,51,1.6
201712,31,108273,530,505,33.5,67,10.0,48,2.0
201801,31,82285,765,365,42.5,70,8.0,42,2.0
201802,28,73729,1377,357,23.5,59,9.3,55,2.1
201803,31,81754,601,464,157.0,59,17.0,58,2.4
201804,30,78780,414,666,161.0,59,22.5,51,2.2
201805,31,83817,579,915,187.0,60,25.3,44,2.4
